2026-04-15 22:51:33,723 [main] INFO treasure2 | RarityWeightDataHandler.java:67 | loading rarity weights from data packs...
2026-04-15 22:51:33,730 [main] INFO treasure2 | RarityWeightDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 22:51:33,731 [main] INFO treasure2 | RarityOrderSetDataHandler.java:64 | loading rarity order sets from data packs...
2026-04-15 22:51:33,735 [main] INFO treasure2 | RarityOrderSetDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 22:51:33,735 [main] INFO treasure2 | RarityLootTableAssociationDataHandler.java:64 | loading rarity loot table associations from data packs...
2026-04-15 22:51:33,738 [main] INFO treasure2 | RarityItemAssociationDataHandler.java:62 | loading rarity item associations from data packs...
2026-04-15 22:51:33,740 [main] INFO treasure2 | RarityBlockAssociationDataHandler.java:62 | loading rarity block associations from data packs...
2026-04-15 22:51:33,741 [main] INFO treasure2 | MobSetDataHandler.java:67 | loading mobsets from data packs...
2026-04-15 22:51:33,746 [main] INFO treasure2 | ChestSubprocessorDataHandler.java:66 | loading chest subprocessors from data packs...
2026-04-15 22:51:34,258 [main] INFO treasure2 | TreasureTags.java:195 | in tags updated event
2026-04-15 22:51:37,741 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:37,745 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:overworld
2026-04-15 22:51:43,494 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,495 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:earth_orbit
2026-04-15 22:51:43,516 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,517 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars
2026-04-15 22:51:43,524 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,524 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury_orbit
2026-04-15 22:51:43,547 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,547 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:triassic
2026-04-15 22:51:43,552 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,554 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:jurassic
2026-04-15 22:51:43,568 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,569 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 22:51:43,623 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,624 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension gamma_creatures:gamma_dimension
2026-04-15 22:51:43,628 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,629 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus_orbit
2026-04-15 22:51:43,634 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,634 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
2026-04-15 22:51:43,648 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,648 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury
2026-04-15 22:51:43,653 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,653 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon_orbit
2026-04-15 22:51:43,668 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,668 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus
2026-04-15 22:51:43,678 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,679 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_nether
2026-04-15 22:51:43,683 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,683 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 22:51:43,693 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,694 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon
2026-04-15 22:51:43,698 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,698 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars_orbit
2026-04-15 22:51:43,709 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 22:51:43,709 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio
2026-04-15 23:08:32,692 [main] INFO treasure2 | RarityWeightDataHandler.java:67 | loading rarity weights from data packs...
2026-04-15 23:08:32,712 [main] INFO treasure2 | RarityWeightDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:08:32,714 [main] INFO treasure2 | RarityOrderSetDataHandler.java:64 | loading rarity order sets from data packs...
2026-04-15 23:08:32,725 [main] INFO treasure2 | RarityOrderSetDataHandler.java:92 | loaded 0 rarity weight.
2026-04-15 23:08:32,726 [main] INFO treasure2 | RarityLootTableAssociationDataHandler.java:64 | loading rarity loot table associations from data packs...
2026-04-15 23:08:32,731 [main] INFO treasure2 | RarityItemAssociationDataHandler.java:62 | loading rarity item associations from data packs...
2026-04-15 23:08:32,733 [main] INFO treasure2 | RarityBlockAssociationDataHandler.java:62 | loading rarity block associations from data packs...
2026-04-15 23:08:32,736 [main] INFO treasure2 | MobSetDataHandler.java:67 | loading mobsets from data packs...
2026-04-15 23:08:32,746 [main] INFO treasure2 | ChestSubprocessorDataHandler.java:66 | loading chest subprocessors from data packs...
2026-04-15 23:08:33,258 [main] INFO treasure2 | TreasureTags.java:195 | in tags updated event
2026-04-15 23:08:36,681 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:36,689 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:overworld
2026-04-15 23:08:50,358 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,361 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_nether
2026-04-15 23:08:50,422 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,423 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension gamma_creatures:gamma_dimension
2026-04-15 23:08:50,446 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,446 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:jurassic
2026-04-15 23:08:50,454 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,454 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars_orbit
2026-04-15 23:08:50,467 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,467 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury_orbit
2026-04-15 23:08:50,484 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,484 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars
2026-04-15 23:08:50,501 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,501 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus
2026-04-15 23:08:50,512 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,512 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:earth_orbit
2026-04-15 23:08:50,526 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,526 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury
2026-04-15 23:08:50,532 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,532 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon_orbit
2026-04-15 23:08:50,539 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,539 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus_orbit
2026-04-15 23:08:50,544 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,544 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 23:08:50,565 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,565 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 23:08:50,568 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:08:50,568 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
